sex,year,age,mu,sigma,nu,tau
women,3,33,23.5478669932064,0.164400855076978,-1.6872599968789,2.30050465946687
women,4,33,23.4973112694132,0.164453568385019,-1.6911419889274,2.28542605422655
women,5,33,23.4468640854385,0.164506298594997,-1.69502398097592,2.27044628135982
women,6,33,23.3965252082544,0.164559045712331,-1.69890597302441,2.25556469307217
women,7,33,23.3462944053333,0.164611809742442,-1.70278796507292,2.24078064581502
women,8,33,23.2961714446469,0.164664590690753,-1.70666995712142,2.2260935002579
women,9,33,23.246156094665,0.164717388562689,-1.71055194916993,2.21150262126084
women,10,33,23.1962481243544,0.164770203363677,-1.71443394121844,2.19700737784687
women,11,33,23.1464473031781,0.164823035099143,-1.71831593326694,2.18260714317474
women,12,33,23.0967534010939,0.164875883774519,-1.72219792531545,2.16830129451184
women,13,33,23.0471661885536,0.164928749395236,-1.72607991736395,2.1540892132072
women,14,33,22.9976854365016,0.164981631966726,-1.72996190941246,2.13997028466482
women,15,33,22.9483109163744,0.165034531494426,-1.73384390146095,2.12594389831707
women,16,33,22.8990424000989,0.165087447983771,-1.73772589350947,2.11200944759822
women,17,33,22.8498796600919,0.165140381440202,-1.74160788555797,2.09816632991831
women,18,33,22.8008224692586,0.165193331869156,-1.74548987760647,2.08441394663702
women,19,33,22.751870600992,0.165246299276078,-1.74937186965498,2.07075170303779
women,20,33,22.7030238291713,0.165299283666411,-1.75325386170348,2.05717900830216
women,21,33,22.6542819281614,0.1653522850456,-1.75713585375199,2.04369527548413
women,22,33,22.6056446728116,0.165405303419092,-1.7610178458005,2.03029992148485
women,23,33,22.5571118384545,0.165458338792337,-1.764899837849,2.01699236702737
women,24,33,22.508683200905,0.165511391170785,-1.7687818298975,2.0037720366316
women,25,33,22.4603585364596,0.165564460559889,-1.772663821946,1.99063835858941
women,26,33,22.4121376218947,0.165617546965103,-1.77654581399452,1.97759076493996
women,27,33,22.3640202344663,0.165670650391883,-1.78042780604302,1.96462869144501
women,28,33,22.3160061519082,0.165723770845687,-1.78430979809152,1.95175157756471
women,29,33,22.2680951524318,0.165776908331975,-1.78819179014004,1.93895886643318
women,30,33,22.2202870147244,0.165830062856207,-1.79207378218854,1.92625000483455
women,31,33,22.1725815179487,0.165883234423847,-1.79595577423704,1.91362444317895
women,32,33,22.1249784417411,0.16593642304036,-1.79983776628554,1.90108163547882
women,33,33,22.0774775662116,0.165989628711212,-1.80371975833405,1.88862103932525
women,34,33,22.030078671942,0.166042851441871,-1.80760175038256,1.87624211586453
women,35,33,21.9827815399851,0.166096091237807,-1.81148374243106,1.86394432977486
women,36,33,21.9355859518641,0.166149348104493,-1.81536573447957,1.85172714924321
women,37,33,21.8884916895709,0.166202622047401,-1.81924772652807,1.83959004594227
women,38,33,21.8414985355656,0.166255913072008,-1.82312971857657,1.82753249500766
women,39,33,21.7946062727755,0.166309221183789,-1.82701171062507,1.81555397501524
women,40,33,21.7478146845937,0.166362546388225,-1.83089370267358,1.80365396795848
women,41,33,21.7011235548784,0.166415888690795,-1.83477569472209,1.79183195922615
women,42,33,21.6545326679519,0.166469248096981,-1.83865768677059,1.78008743758
women,43,33,21.6080418085994,0.166522624612269,-1.84253967881911,1.76841989513269
women,44,33,21.5616507620685,0.166576018242143,-1.8464216708676,1.75682882732585
women,45,33,21.5153593140674,0.166629428992092,-1.85030366291611,1.74531373290816
women,46,33,21.4691672507648,0.166682856867604,-1.85418565496461,1.7338741139138
women,47,33,21.4230743587882,0.166736301874172,-1.85806764701312,1.72250947564083
women,48,33,21.3770804252232,0.166789764017286,-1.86194963906162,1.71121932662981
women,49,33,21.3311852376126,0.166843243302444,-1.86583163111012,1.70000317864259
women,50,33,21.2853885839554,0.16689673973514,-1.86971362315864,1.68886054664114
men,-1,33,25.6912793910261,0.131676935688427,-0.942397415530987,1.58709145330271
men,0,33,25.69726469363,0.131569521028741,-0.95759585825523,1.57310974153889
men,1,33,25.703251390631,0.131462193991911,-0.972794300979467,1.55925120368759
men,2,33,25.7092394823541,0.131354954506458,-0.987992743703717,1.54551475463044
men,3,33,25.7152289691241,0.131247802500963,-1.00319118642795,1.5318993188085
men,4,33,25.7212198512661,0.131140737904066,-1.0183896291522,1.5184038301382
men,5,33,25.7272121291051,0.131033760644462,-1.03358807187645,1.50502723192775
men,6,33,25.7332058029663,0.130926870650908,-1.04878651460069,1.49176847679444
men,7,33,25.7392008731749,0.130820067852216,-1.06398495732493,1.47862652658262
men,8,33,25.7451973400563,0.130713352177257,-1.07918340004917,1.46560035228247
men,9,33,25.7511952039357,0.130606723554962,-1.09438184277342,1.4526889339493
men,10,33,25.7571944651388,0.130500181914317,-1.10958028549767,1.43989126062386
men,11,33,25.763195123991,0.130393727184367,-1.12477872822191,1.42720633025303
men,12,33,25.7691971808178,0.130287359294216,-1.13997717094616,1.41463314961144
men,13,33,25.7752006359451,0.130181078173025,-1.1551756136704,1.40217073422369
men,14,33,25.7812054896985,0.130074883750012,-1.17037405639464,1.38981810828724
men,15,33,25.7872117424039,0.129968775954455,-1.18557249911888,1.37757430459605
men,16,33,25.7932193943873,0.129862754715686,-1.20077094184313,1.36543836446479
men,17,33,25.7992284459746,0.129756819963098,-1.21596938456737,1.35340933765384
men,18,33,25.8052388974918,0.12965097162614,-1.23116782729161,1.34148628229483
men,19,33,25.8112507492652,0.12954520963432,-1.24636627001586,1.32966826481692
men,20,33,25.8172640016209,0.129439533917202,-1.2615647127401,1.31795435987371
men,21,33,25.8232786548852,0.129333944404407,-1.27676315546434,1.30634365027076
men,22,33,25.8292947093845,0.129228441025615,-1.2919615981886,1.29483522689379
men,23,33,25.8353121654453,0.129123023710564,-1.30716004091283,1.28342818863748
men,24,33,25.841331023394,0.129017692389045,-1.32235848363708,1.27212164233497
men,25,33,25.8473512835573,0.128912446990913,-1.33755692636132,1.26091470268783
men,26,33,25.8533729462618,0.128807287446073,-1.35275536908557,1.24980649219685
men,27,33,25.8593960118344,0.128702213684493,-1.36795381180981,1.2387961410932
men,28,33,25.8654204806017,0.128597225636196,-1.38315225453405,1.22788278727049
men,29,33,25.8714463528908,0.12849232323126,-1.3983506972583,1.21706557621712
men,30,33,25.8774736290285,0.128387506399823,-1.41354913998254,1.20634366094946
men,31,33,25.883502309342,0.128282775072079,-1.42874758270679,1.1957162019455
men,32,33,25.8895323941585,0.128178129178279,-1.44394602543102,1.18518236707912
men,33,33,25.8955638838049,0.128073568648731,-1.45914446815527,1.17474133155494
men,34,33,25.9015967786088,0.127969093413799,-1.47434291087952,1.16439227784372
men,35,33,25.9076310788974,0.127864703403905,-1.48954135360376,1.15413439561837
men,36,33,25.9136667849981,0.127760398549526,-1.50473979632801,1.1439668816905
men,37,33,25.9197038972386,0.127656178781198,-1.51993823905225,1.13388893994754
men,38,33,25.9257424159463,0.127552044029513,-1.53513668177649,1.12389978129033
men,39,33,25.931782341449,0.127447994225118,-1.55033512450072,1.11399862357146
men,40,33,25.9378236740743,0.127344029298719,-1.56553356722498,1.10418469153392
men,41,33,25.9438664141501,0.127240149181076,-1.58073200994923,1.09445721675046
men,42,33,25.9499105620043,0.127136353803007,-1.59593045267347,1.08481543756339
men,43,33,25.9559561179649,0.127032643095387,-1.61112889539772,1.07525859902495
men,44,33,25.9620030823599,0.126929016989146,-1.62632733812195,1.0657859528382
men,45,33,25.9680514555174,0.126825475415272,-1.6415257808462,1.05639675729846
men,46,33,25.9741012377656,0.126722018304806,-1.65672422357044,1.04709027723517
men,47,33,25.9801524294328,0.12661864558885,-1.67192266629469,1.03786578395437
men,48,33,25.9862050308475,0.126515357198558,-1.68712110901893,1.02872255518165
men,49,33,25.9922590423379,0.126412153065142,-1.70231955174317,1.01965987500555
men,50,33,25.9983144642325,0.126309033119871,-1.71751799446742,1.01067703382158
women,-1,34,23.9039030566251,0.164671037129022,-1.64552452538032,2.37055137625566
women,0,34,23.8520928810699,0.164751171900272,-1.65035434398773,2.35624787924781
women,1,34,23.8003950007446,0.164831345667945,-1.65518416259514,2.34203068706706
women,2,34,23.7488091722567,0.164911558451019,-1.66001398120256,2.32789927896499
